Topic,Words,Frequency,Timestamp,Name
5,"selfie jaguar, try selfie jaguar, selfie jaguar get, try selfie, jaguar get attack",1,2020-01-05 09:46:14.200000000,5_mask_face mask_face_ventilators
7,"israel, netanyahu, israel nuclear, israeli, peace",21,2020-01-05 09:46:14.200000000,7_israel_palestinian_netanyahu_israeli
8,"standards, food, farmers wto rule, lower standards, pennsylvania walmart",6,2020-01-05 09:46:14.200000000,8_dog_animals_meat_cat
9,"italy, drunken, kill live be, sorry news, italy tell true",2,2020-01-05 09:46:14.200000000,9_italy_italian_coronavirus_deaths
10,"johnson, boris, boris johnson, brexit, australia reject",13,2020-01-05 09:46:14.200000000,10_johnson_boris_boris johnson_brexit
11,"trade deficit, deficit, salary, average, rich",7,2020-01-05 09:46:14.200000000,11_stock_economy_recession_market
12,"crash, plane, iran, ukrainian, plane crash",168,2020-01-05 09:46:14.200000000,12_plane_crash_iran_ukrainian
13,"fine facebook, brazil slap, million fine facebook, slap million, slap million fine",1,2020-01-05 09:46:14.200000000,13_brazil_bolsonaro_brazilian_president
14,"north, kim, korea, break promise, north korean",5,2020-01-05 09:46:14.200000000,14_kim_jong_kim jong_north
15,"bushfires, australia, australian, fire, bushfire",73,2020-01-05 09:46:14.200000000,15_australia_bushfires_australian_fire
16,"japan, force middle east, plan deploy, force middle, japan abe",10,2020-01-05 09:46:14.200000000,16_japan_tokyo_olympics_japanese
17,"announce lyme disease, lyme, lyme disease, bieber announce lyme, bieber announce",1,2020-01-05 09:46:14.200000000,17_canada_trudeau_canadian_covid
18,"need sams, missiles taiwan, russia missiles taiwan, sams, taiwan need sams",1,2020-01-05 09:46:14.200000000,18_taiwan_china_tsai_support taiwan
19,"neo nazi, germany, neo, nazi, buchenwald",11,2020-01-05 09:46:14.200000000,19_germany_german_far right_right
20,"mexico, drug war, mexican, war officials mexican, officials mexican",8,2020-01-05 09:46:14.200000000,20_mexico_mexican_border_drug
21,"kenya, kill, attack, base kenya, shabaab",19,2020-01-05 09:46:14.200000000,21_taliban_afghanistan_kill_afghan
22,"pneumonia case report, possible mystery, possible mystery pneumonia, case report south, mystery pneumonia case",1,2020-01-05 09:46:14.200000000,22_korea_south_south korea_north korea
24,"nasa fleet ship, narco submarine epidemic, ship activate, ship activate space, space coast guard",2,2020-01-05 09:46:14.200000000,24_cruise_ship_cruise ship_passengers
25,"climate, emissions, gas, carbon, climate change",15,2020-01-05 09:46:14.200000000,25_climate_carbon_emissions_climate chan...
26,"facebook, facebook ban, political ads, ads, ban",5,2020-01-05 09:46:14.200000000,26_facebook_youtube_google_zoom
27,"venezuela, takeover, maduro, venezuelan, crisis juan guaid",6,2020-01-05 09:46:14.200000000,27_venezuela_maduro_venezuelan_coup
30,"oil, launch new gas, supply disruption, fear supply disruption, crisis deepen fear",2,2020-01-05 09:46:14.200000000,30_oil_price_oil price_saudi
31,"arctic, ice, melt, cities record, norwegian fjords",4,2020-01-05 09:46:14.200000000,31_ice_antarctica_melt_warm
34,"earth, space, alien, radio, star",13,2020-01-05 09:46:14.200000000,34_earth_nasa_asteroid_star
35,"impeachment trial, impeachment, trial, trial commander chief, trial commander",2,2020-01-05 09:46:14.200000000,35_impeachment_trump_trial_witness
36,"greta, thunberg, greta thunberg, zuckerberg golden globes, newspapers accept fossil",4,2020-01-05 09:46:14.200000000,36_greta_thunberg_greta thunberg_climate
38,"earthquake, magnitude, puerto, puerto rico, rico",31,2020-01-05 09:46:14.200000000,38_earthquake_magnitude_magnitude earthq...
40,"ottawa, parliament kill, canadian parliament, canadian parliament kill, near canadian parliament",7,2020-01-05 09:46:14.200000000,40_gun_shoot_assault_canada
41,"huawei america ally, huawei america, senator want ban, countries huawei america, ban share intelligence",1,2020-01-05 09:46:14.200000000,41_huawei_network_giant huawei_giant
-1,"say, max, australia, boeing, coronavirus",228,2020-01-09 19:32:20.400000000,-1_coronavirus_covid_say_test
0,"china, kong, hong, hong kong, chinese",39,2020-01-09 19:32:20.400000000,0_china_coronavirus_chinese_wuhan
1,"india, israeli education, minister imply homosexuality, israeli education minister, imply homosexuality unnatural",31,2020-01-09 19:32:20.400000000,1_pakistan_india_school_coronavirus
2,"iran, soleimani, iraq, troop, trump",173,2020-01-09 19:32:20.400000000,2_iran_iraq_soleimani_iranian
3,"putin, trump, ukraine, vladimir putin, vladimir",9,2020-01-09 19:32:20.400000000,3_putin_death_toll_death toll
4,"yup, yup deny, deny, trump, coronavirus",1,2020-01-09 19:32:20.400000000,4_trump_coronavirus_fund_white house
5,"hold face, charge children autism, face face talk, queen prince harry, queen prince",2,2020-01-09 19:32:20.400000000,5_mask_face mask_face_ventilators
7,"netanyahu, israel, palestinian, israeli, billion israel",9,2020-01-09 19:32:20.400000000,7_israel_palestinian_netanyahu_israeli
8,"chicken, steak, sheep, dog, home romanian",7,2020-01-09 19:32:20.400000000,8_dog_animals_meat_cat
10,"brexit, johnson, boris, boris johnson, independence",15,2020-01-09 19:32:20.400000000,10_johnson_boris_boris johnson_brexit
11,"debt, rule world longer, bask growth hop, subside money officially, borrow scrape",5,2020-01-09 19:32:20.400000000,11_stock_economy_recession_market
12,"plane, iran, crash, ukrainian, plane crash",161,2020-01-09 19:32:20.400000000,12_plane_crash_iran_ukrainian
13,"bolsonaro, brazil, ridicule series spell, campaign pledge, dam construction indigenous",2,2020-01-09 19:32:20.400000000,13_brazil_bolsonaro_brazilian_president
14,"kim, north, north korea, korea, birthday",12,2020-01-09 19:32:20.400000000,14_kim_jong_kim jong_north
15,"australia, bushfires, bushfire, fire, australian",65,2020-01-09 19:32:20.400000000,15_australia_bushfires_australian_fire
16,"girlfriend, seek girlfriend, japanese billionaire, japanese, seek girlfriend spacex",9,2020-01-09 19:32:20.400000000,16_japan_tokyo_olympics_japanese
17,"canada, canadian, suggest stephen harper, account cover million, extradition witness panama",9,2020-01-09 19:32:20.400000000,17_canada_trudeau_canadian_covid
18,"taiwan, tsai, election, landslide, wen",17,2020-01-09 19:32:20.400000000,18_taiwan_china_tsai_support taiwan
19,"extinction rebellion, rebellion, germany, extremist, list",20,2020-01-09 19:32:20.400000000,19_germany_german_far right_right
20,"mexico, teacher, torren, school, school shoot",14,2020-01-09 19:32:20.400000000,20_mexico_mexican_border_drug
21,"taliban, target taliban, niger, kill, soldier",9,2020-01-09 19:32:20.400000000,21_taliban_afghanistan_kill_afghan
25,"climate, siemens, climate crisis, likely increase, crisis",13,2020-01-09 19:32:20.400000000,25_climate_carbon_emissions_climate chan...
26,"facebook, ads, hamill, facebook remove pro, remove pro",8,2020-01-09 19:32:20.400000000,26_facebook_youtube_google_zoom
27,"venezuela, maduro, president maduro, guaido, venezuelan",4,2020-01-09 19:32:20.400000000,27_venezuela_maduro_venezuelan_coup
30,"oil, saudi, middle east, middle, trump block oil",4,2020-01-09 19:32:20.400000000,30_oil_price_oil price_saudi
31,"melt, ice, ocean, heat, warm",14,2020-01-09 19:32:20.400000000,31_ice_antarctica_melt_warm
33,"imperialist, greece, protesters greece, imperialist war middle, greece march",2,2020-01-09 19:32:20.400000000,33_greece_greek_migrants_turkey
34,"meteorite, older solar, earth, nasa, solar",7,2020-01-09 19:32:20.400000000,34_earth_nasa_asteroid_star
35,"senate, impeachment, impeachment trial, consecrate water public, gop defections call",3,2020-01-09 19:32:20.400000000,35_impeachment_trump_trial_witness
36,"thunberg, greta, greta thunberg, world leaders, madness",11,2020-01-09 19:32:20.400000000,36_greta_thunberg_greta thunberg_climate
37,"boeing ceo, boeing, ceo, fire boeing, million",6,2020-01-09 19:32:20.400000000,37_amazon_airlines_flight_airline
38,"puerto, taal, eruption, volcano, earthquake",15,2020-01-09 19:32:20.400000000,38_earthquake_magnitude_magnitude earthq...
39,"sanders, bernie, bernie sanders, warren, democratic",5,2020-01-09 19:32:20.400000000,39_sanders_bernie_bernie sanders_sanders...
41,"huawei, risk huawei, dismiss warn, chief dismiss warn, chief dismiss",4,2020-01-09 19:32:20.400000000,41_huawei_network_giant huawei_giant
42,"extradition, dunn, harry dunn, sacoolas, harry",9,2020-01-09 19:32:20.400000000,42_assange_julian assange_julian_extradi...
-1,"australia, say, climate, coronavirus, change",248,2020-01-14 05:18:26.600000000,-1_coronavirus_covid_say_test
0,"china, chinese, virus, kong, hong",54,2020-01-14 05:18:26.600000000,0_china_coronavirus_chinese_wuhan
1,"india, sex, police, pakistan, indian",56,2020-01-14 05:18:26.600000000,1_pakistan_india_school_coronavirus
2,"iran, iraq, trump, troop, soleimani",81,2020-01-14 05:18:26.600000000,2_iran_iraq_soleimani_iranian
3,"putin, ukraine, government resign, russian, resign",64,2020-01-14 05:18:26.600000000,3_putin_death_toll_death toll
4,"church change, rollout cancer fear, brussel pause, supporters conservative scare, conservative scare tactics",2,2020-01-14 05:18:26.600000000,4_trump_coronavirus_fund_white house
5,"gear, help trace, fisheries specially colour, giant sinkhole swallow, impose mandatory gear",2,2020-01-14 05:18:26.600000000,5_mask_face mask_face_ventilators
7,"israel, palestinian, israeli, gaza, jerusalem",11,2020-01-14 05:18:26.600000000,7_israel_palestinian_netanyahu_israeli
8,"pig, secret camera, film starve, starve pig, film starve pig",9,2020-01-14 05:18:26.600000000,8_dog_animals_meat_cat
9,"mobile phone cause, phone cause, italian court rule, tumours, italian court",3,2020-01-14 05:18:26.600000000,9_italy_italian_coronavirus_deaths
10,"brexit, johnson, boris, boris johnson, brexit soon",17,2020-01-14 05:18:26.600000000,10_johnson_boris_boris johnson_brexit
11,"debt, global debt, germany post, global, young",8,2020-01-14 05:18:26.600000000,11_stock_economy_recession_market
12,"plane, iran, crash, plane crash, ukrainian",43,2020-01-14 05:18:26.600000000,12_plane_crash_iran_ukrainian
13,"brazil, culture, goebbels, brazil culture, bolsonaro",11,2020-01-14 05:18:26.600000000,13_brazil_bolsonaro_brazilian_president
14,"north, korea, south, jcb, south koreans flip",8,2020-01-14 05:18:26.600000000,14_kim_jong_kim jong_north
15,"australia, bushfires, fire, australian, bushfire",21,2020-01-14 05:18:26.600000000,15_australia_bushfires_australian_fire
16,"japan, japan confirm case, japan confirm, confirm case new, case new",8,2020-01-14 05:18:26.600000000,16_japan_tokyo_olympics_japanese
17,"canadian, canada, give power border, power border, canadian airports",8,2020-01-14 05:18:26.600000000,17_canada_trudeau_canadian_covid
18,"taiwan, tsai, taiwan president, ing wen, tsai ing wen",7,2020-01-14 05:18:26.600000000,18_taiwan_china_tsai_support taiwan
19,"include neo, nazis counter, include neo nazis, counter terror list, greenpeace include neo",16,2020-01-14 05:18:26.600000000,19_germany_german_far right_right
20,"mexico, caravan, mexican, migrants, honduras",18,2020-01-14 05:18:26.600000000,20_mexico_mexican_border_drug
21,"taliban, sahel, military crush arm, sahel fear, iraqi swat",5,2020-01-14 05:18:26.600000000,21_taliban_afghanistan_kill_afghan
25,"climate, carbon, new climate model, new climate, goals",20,2020-01-14 05:18:26.600000000,25_climate_carbon_emissions_climate chan...
26,"facebook, youtube, misinformation, fund climate misinformation, tax",9,2020-01-14 05:18:26.600000000,26_facebook_youtube_google_zoom
27,"venezuela, president morales call, drill venezuela, morales call, back legislator ally",3,2020-01-14 05:18:26.600000000,27_venezuela_maduro_venezuelan_coup
29,"genetically engineer mosquitoes, immune strain, dengue virus, mosquitoes immune strain, dengue virus time",1,2020-01-14 05:18:26.600000000,29_vaccine_coronavirus vaccine_coronavir...
30,"oil, cost troop, saudi, arabia, saudi arabia",4,2020-01-14 05:18:26.600000000,30_oil_price_oil price_saudi
31,"warm rate, hiroshima, bomb, oceans, warm",5,2020-01-14 05:18:26.600000000,31_ice_antarctica_melt_warm
33,"lesbos global, deal libya, emus invade, ago emus invade, block peace deal",3,2020-01-14 05:18:26.600000000,33_greece_greek_migrants_turkey
34,"earth, proxima, goldilocks, planet, scientists",6,2020-01-14 05:18:26.600000000,34_earth_nasa_asteroid_star
35,"impeachment, trial, trump impeachment, trump, senate",10,2020-01-14 05:18:26.600000000,35_impeachment_trump_trial_witness
36,"greta, thunberg, greta thunberg, davos, climate",5,2020-01-14 05:18:26.600000000,36_greta_thunberg_greta thunberg_climate
37,"exec greg kelly, odds fair, fear odds fair, fear odds, fair trial slimmer",1,2020-01-14 05:18:26.600000000,37_amazon_airlines_flight_airline
38,"fear imminent massive, crack spot, surface taal volcano, eruption crack spot, crack spot surface",1,2020-01-14 05:18:26.600000000,38_earthquake_magnitude_magnitude earthq...
39,"warren, thoughts audio debate, warren bernie fallout, audio debate warren, audio debate",2,2020-01-14 05:18:26.600000000,39_sanders_bernie_bernie sanders_sanders...
40,"gun, rifle ammunition rule, tell cop go, makers able, sudbury incel",4,2020-01-14 05:18:26.600000000,40_gun_shoot_assault_canada
41,"huawei, network, european union, huawei network, charge port",12,2020-01-14 05:18:26.600000000,41_huawei_network_giant huawei_giant
42,"robert hyde pass, hyde pass detail, suggest robert, suggest robert hyde, yovanovitch movements",2,2020-01-14 05:18:26.600000000,42_assange_julian assange_julian_extradi...
-1,"say, hack, coronavirus, saudi, trump",231,2020-01-18 15:04:32.800000000,-1_coronavirus_covid_say_test
0,"china, virus, wuhan, spread, confirm",118,2020-01-18 15:04:32.800000000,0_china_coronavirus_chinese_wuhan
1,"pakistan, india, abuse, sex, children",40,2020-01-18 15:04:32.800000000,1_pakistan_india_school_coronavirus
2,"iran, soleimani, kill, iraq, nuclear",30,2020-01-18 15:04:32.800000000,2_iran_iraq_soleimani_iranian
3,"putin, russian, russia, russian opposition, ukraine",20,2020-01-18 15:04:32.800000000,3_putin_death_toll_death toll
4,"sweetheart tax, deal hotel cost, cost new york, deal hotel, york city count",1,2020-01-18 15:04:32.800000000,4_trump_coronavirus_fund_white house
5,"wearers, dairy, sham, chinese city, chinese",3,2020-01-18 15:04:32.800000000,5_mask_face mask_face_ventilators
6,"coronavirus report cdc, report cdc coronavirus, case diagnose, coronavirus case diagnose, cdc coronavirus case",2,2020-01-18 15:04:32.800000000,6_coronavirus_case_coronavirus case_pand...
7,"israel, jerusalem, israeli, israeli security, berate israeli security",13,2020-01-18 15:04:32.800000000,7_israel_palestinian_netanyahu_israeli
8,"bungee, pig, bungee jump, theme park, theme",12,2020-01-18 15:04:32.800000000,8_dog_animals_meat_cat
9,"defence, space, military space, space operations command, work creation",2,2020-01-18 15:04:32.800000000,9_italy_italian_coronavirus_deaths
10,"brexit, johnson, boris, boris johnson, brexit boris johnson",20,2020-01-18 15:04:32.800000000,10_johnson_boris_boris johnson_brexit
11,"imf, global, economy, billion people struggle, report half billion",12,2020-01-18 15:04:32.800000000,11_stock_economy_recession_market
12,"crash, plane, iran, ukrainian, down",7,2020-01-18 15:04:32.800000000,12_plane_crash_iran_ukrainian
13,"brazil, bolsonaro, culture minister, culture, culture minister sack",7,2020-01-18 15:04:32.800000000,13_brazil_bolsonaro_brazilian_president
14,"korea, north, north korea, nuclear, kim",7,2020-01-18 15:04:32.800000000,14_kim_jong_kim jong_north
15,"bushfires, australia, australian, fire, hail",21,2020-01-18 15:04:32.800000000,15_australia_bushfires_australian_fire
16,"japan, workers like indenture, defend japan space, japanese split accept, new unit defend",4,2020-01-18 15:04:32.800000000,16_japan_tokyo_olympics_japanese
17,"canadian, canada, newfoundland dig blizzard, people possible case, canadian military mobilize",10,2020-01-18 15:04:32.800000000,17_canada_trudeau_canadian_covid
18,"taiwan, taiwan president, chinese pressure, china, abe",8,2020-01-18 15:04:32.800000000,18_taiwan_china_tsai_support taiwan
19,"germany, german, language, recruit, standards",11,2020-01-18 15:04:32.800000000,19_germany_german_far right_right
20,"mexico, migrants cross, cross, bind migrants, bind migrants cross",10,2020-01-18 15:04:32.800000000,20_mexico_mexican_border_drug
21,"drone, ugandan president, libya ugandan president, say develop, state jabba hutt",5,2020-01-18 15:04:32.800000000,21_taliban_afghanistan_kill_afghan
22,"korea, germany break, innovative nation, streak innovative, germany break korea",5,2020-01-18 15:04:32.800000000,22_korea_south_south korea_north korea
25,"climate, emissions, carbon, climate refugees, coal",13,2020-01-18 15:04:32.800000000,25_climate_carbon_emissions_climate chan...
26,"tax, facebook, tech, google, impose",4,2020-01-18 15:04:32.800000000,26_facebook_youtube_google_zoom
27,"venezuela, titanic, pompeo, venezuelan, support venezuelan",11,2020-01-18 15:04:32.800000000,27_venezuela_maduro_venezuelan_coup
28,"scald, scald water, russia, water, water flood",5,2020-01-18 15:04:32.800000000,28_russia_putin_moscow_coronavirus
29,"victims cure vaccines, kill victims cure, reach kill, reach kill far, israeli team develop",2,2020-01-18 15:04:32.800000000,29_vaccine_coronavirus vaccine_coronavir...
30,"value tell view, trump value tell, value tell, khan say share, tell view",1,2020-01-18 15:04:32.800000000,30_oil_price_oil price_saudi
31,"ice, sea ice, sea, climate change, pyrenees glaciers disappear",2,2020-01-18 15:04:32.800000000,31_ice_antarctica_melt_warm
32,"doctor gather delhi, gather delhi, importance intermittent fast, emphasize importance intermittent, gather delhi emphasize",1,2020-01-18 15:04:32.800000000,32_india_coronavirus_lockdown_covid
33,"cyprus, turkey, greece, drill, greek",5,2020-01-18 15:04:32.800000000,33_greece_greek_migrants_turkey
34,"asteroid, earth, impact end, moon dust, earth oldest asteroid",3,2020-01-18 15:04:32.800000000,34_earth_nasa_asteroid_star
35,"impeachment, trump impeachment, impeachment trial, trial, trump",14,2020-01-18 15:04:32.800000000,35_impeachment_trump_trial_witness
36,"thunberg, greta, davos, greta thunberg, climate",29,2020-01-18 15:04:32.800000000,36_greta_thunberg_greta thunberg_climate
37,"complete acquisition, complete acquisition honey, paypal complete, paypal complete acquisition, acquisition honey",1,2020-01-18 15:04:32.800000000,37_amazon_airlines_flight_airline
38,"puerto, rico, puerto rico, warehouse, emergency director",7,2020-01-18 15:04:32.800000000,38_earthquake_magnitude_magnitude earthq...
39,"benefit trump impeachment, bernie sanders elizabeth, benefit trump, warren benefit, warren benefit trump",1,2020-01-18 15:04:32.800000000,39_sanders_bernie_bernie sanders_sanders...
40,"bizarre howl sound, northern ontario, hunters capture, canadian hunters capture, bizarre howl",1,2020-01-18 15:04:32.800000000,40_gun_shoot_assault_canada
41,"huawei, huawei executive, extradition, meng, executive",10,2020-01-18 15:04:32.800000000,41_huawei_network_giant huawei_giant
42,"torture program, program, torture, cia, design cia",4,2020-01-18 15:04:32.800000000,42_assange_julian assange_julian_extradi...
-1,"coronavirus, helicopter crash, helicopter, kobe, bryant",275,2020-01-23 00:50:39.000000000,-1_coronavirus_covid_say_test
0,"china, wuhan, virus, coronavirus, chinese",261,2020-01-23 00:50:39.000000000,0_china_coronavirus_chinese_wuhan
1,"india, school, pakistan, islam, sex",38,2020-01-23 00:50:39.000000000,1_pakistan_india_school_coronavirus
2,"iran, iraq, troop, iraqis, iranian",20,2020-01-23 00:50:39.000000000,2_iran_iraq_soleimani_iranian
3,"ukraine, death, trump, putin, toll",30,2020-01-23 00:50:39.000000000,3_putin_death_toll_death toll
4,"give fund universities, give fund, universities stop, fund universities stop, soros give",1,2020-01-23 00:50:39.000000000,4_trump_coronavirus_fund_white house
5,"mask, city use, chinese city use, shame, face mask",6,2020-01-23 00:50:39.000000000,5_mask_face mask_face_ventilators
6,"coronavirus, case, coronavirus case, say, coronavirus infect",20,2020-01-23 00:50:39.000000000,6_coronavirus_case_coronavirus case_pand...
7,"israel, peace plan, peace, plan, palestinian",20,2020-01-23 00:50:39.000000000,7_israel_palestinian_netanyahu_israeli
8,"wildlife, wildlife trade, animal, market, ban wildlife trade",20,2020-01-23 00:50:39.000000000,8_dog_animals_meat_cat
9,"salvini, italy, drug go viral, far right win, salvini buzz intercoms",2,2020-01-23 00:50:39.000000000,9_italy_italian_coronavirus_deaths
10,"brexit, johnson, boris, boris johnson, election",16,2020-01-23 00:50:39.000000000,10_johnson_boris_boris johnson_brexit
11,"economic, planet burn bank, america ceo, new economic model, economic model planet",3,2020-01-23 00:50:39.000000000,11_stock_economy_recession_market
12,"plane, iran, crash, satellite, directv",7,2020-01-23 00:50:39.000000000,12_plane_crash_iran_ukrainian
13,"bolsonaro, brazil, indigenous, evolve, evolve human",8,2020-01-23 00:50:39.000000000,13_brazil_bolsonaro_brazilian_president
14,"north, kim, north korean, north korea, jong",4,2020-01-23 00:50:39.000000000,14_kim_jong_kim jong_north
15,"australia, bushfires, crash, fire, firefighters",14,2020-01-23 00:50:39.000000000,15_australia_bushfires_australian_fire
16,"japan, japan confirm, postman, japan postman, confiscation",9,2020-01-23 00:50:39.000000000,16_japan_tokyo_olympics_japanese
17,"toronto, canada, coronavirus toronto, presumptive, presumptive case",12,2020-01-23 00:50:39.000000000,17_canada_trudeau_canadian_covid
18,"taiwan, bar, china, meet, china policy protect",6,2020-01-23 00:50:39.000000000,18_taiwan_china_tsai_support taiwan
19,"holocaust, germany, nazi, jews, german",24,2020-01-23 00:50:39.000000000,19_germany_german_far right_right
20,"mexico, butterfly, monarch butterfly, mexican, monarch",5,2020-01-23 00:50:39.000000000,20_mexico_mexican_border_drug
21,"afghanistan, afghanistan human, civilians afghanistan, kill civilians afghanistan, civilians afghanistan human",2,2020-01-23 00:50:39.000000000,21_taliban_afghanistan_kill_afghan
22,"coronavirus fear tour, north korea suspend, korea suspend foreign, suspend foreign tourism, tourism coronavirus fear",1,2020-01-23 00:50:39.000000000,22_korea_south_south korea_north korea
23,"health warrant immediate, catastrophic drop live, standards deterioration public, novel coronavirus report, crisis catastrophic",2,2020-01-23 00:50:39.000000000,23_iran_coronavirus_sanction_iran corona...
25,"climate, carbon, change, zero carbon, net zero carbon",6,2020-01-23 00:50:39.000000000,25_climate_carbon_emissions_climate chan...
26,"big, big big, cronies implement article, trouble comey cronies, big big trouble",4,2020-01-23 00:50:39.000000000,26_facebook_youtube_google_zoom
27,"venezuela, maduro, oust, venezuelan, guaid visit politically",6,2020-01-23 00:50:39.000000000,27_venezuela_maduro_venezuelan_coup
28,"hospitalize moscow, hotel hospitalize, hospitalize moscow high, citizens hotel hospitalize, citizens hotel",1,2020-01-23 00:50:39.000000000,28_russia_putin_moscow_coronavirus
29,"vaccine research include, research include, research include team, include team, include team queensland",1,2020-01-23 00:50:39.000000000,29_vaccine_coronavirus vaccine_coronavir...
